name,domain,website_url,careers_url,sequoia_jobs_url,sequoia_portfolio_url,linkedin_url,twitter_url,github_url,facebook_url,instagram_url,youtube_url,all_social_links,ats_platform,total_jobs,num_remote_jobs,logo_url,linkedin_logo_url,industries,markets,office_locations,stages,staff_count,email_domains,investors,founded,crunchbase_url,org_type,description,slug,id
Pearl Bio,pearlbio.com,https://pearlbio.com,https://jobs.sequoiacap.com/companies/pearl-bio,https://jobs.sequoiacap.com/companies/pearl-bio,https://www.sequoiacap.com/companies/pearl-bio/,https://www.linkedin.com/company/77578152,https://twitter.com/pearlbio,,,,,https://www.linkedin.com/company/77578152 | https://twitter.com/pearlbio,,0,0,,,Biotechnology,,"Cambridge, MA, USA",seed,8,,,2020,https://crunchbase.com/organization/pearl-bio,private,Pearl Bio is a synthetic biology company recording life to create a new era of biologics and biomaterials.,pearl-bio,74910
Pendulum,pendulumlife.com,https://pendulumlife.com,https://jobs.sequoiacap.com/companies/pendulum-2,https://jobs.sequoiacap.com/companies/pendulum-2,https://www.sequoiacap.com/companies/pendulum-2/,https://www.linkedin.com/company/15889952,https://twitter.com/pendulum_co,,https://facebook.com/pendulumlife,instagram.com/pendulumlifeco,,https://www.linkedin.com/company/15889952 | https://twitter.com/pendulum_co | https://facebook.com/pendulumlife | instagram.com/pendulumlifeco,,0,0,,,"Biotechnology, Health Care, Health Diagnostics, Medical, Therapeutics",,"San Francisco, CA, USA",series_c,127,,,2013,https://crunchbase.com/organization/pendulum-therapeutics,private,"Pendulum Therapeutics believes therapies developed using evidence-based microbiome science and DNA sequencing can help heal the body from within. Armed with 13 patents and 42 pending, the company introduced its flagship product Pendulum Glucose Control, a medical probiotic, in 2020 and demonstrated its efficacy in lowering blood sugar spikes and reducing A1C in a published clinical trial. Founded in 2013 by a diverse team of scientists with deep microbiology, biochemistry, computational, and clinical expertise, Pendulum has raised $111 million to date from Meritech Capital, Sequoia Capital, True Ventures, Khosla Ventures, AME Cloud Ventures, and Mayo Clinic among others. Pendulum Therapeutics is headquartered in San Francisco.",pendulum-2,37512
Peripheral Labs,peripheral.so,https://peripheral.so,https://jobs.sequoiacap.com/companies/peripheral-labs,https://jobs.sequoiacap.com/companies/peripheral-labs,https://www.sequoiacap.com/companies/peripheral-labs/,https://www.linkedin.com/company/peripheral-inc,,,,,,https://www.linkedin.com/company/peripheral-inc,,0,0,,,"Information Technology, Media & Entertainment, Sports",,"Toronto, ON, Canada, Galway, Co. Galway, Ireland",seed,1,,,2024,https://www.crunchbase.com/organization/peripheral-labs-b41e,private,Peripheral Labs provides technology for live media and spatial intelligence.,peripheral-labs,4434437
Piazza,piazza.com,https://piazza.com,https://jobs.sequoiacap.com/companies/piazza,https://jobs.sequoiacap.com/companies/piazza,https://www.sequoiacap.com/companies/piazza/,https://www.linkedin.com/company/793281,https://twitter.com/piazza,,https://facebook.com/piazzza,,,https://www.linkedin.com/company/793281 | https://twitter.com/piazza | https://facebook.com/piazzza,,0,0,,,"Consumer, Education, Recruiting, Social, Technical Support, Technology, Information and Internet",,"Palo Alto, CA, USA",series_b,135,,,2009,https://www.crunchbase.com/organization/piazzza,private,"Piazza is a learning platform designed to connect students, TAs, and professors in order for every student to get help whenever they need it. Users can start a class at Piazza.com and collaborate in real time with classmates and instructors to find the answers they need.",piazza,13689
"Pivot Health Technologies, Inc.",pivot.co,https://pivot.co,https://jobs.sequoiacap.com/companies/pivot-health-technologies-inc,https://jobs.sequoiacap.com/companies/pivot-health-technologies-inc,https://www.sequoiacap.com/companies/pivot-health-technologies-inc/,https://www.linkedin.com/company/7952008,https://twitter.com/pivot_co,,https://www.facebook.com/pivotjourney/,instagram.com/pivotjourney,,https://www.linkedin.com/company/7952008 | https://twitter.com/pivot_co | https://www.facebook.com/pivotjourney/ | instagram.com/pivotjourney,,0,0,,,"Health Care, Lifestyle, Personal Health, Wellness and Fitness Services",,"Redwood City, CA, USA, Redwood Shores, Redwood City, CA, USA, San Carlos, CA, USA",series_unknown,44,,,2015,https://www.crunchbase.com/organization/pivot-6d46,private,"Pivot is a digital health care initiative to help people quit all kinds of tobacco using behavioral science, tech, and personal coaches.",pivot-health-technologies-inc,89954
Planted Solar,plantedsolar.com,https://plantedsolar.com,https://jobs.sequoiacap.com/companies/planted-solar-2,https://jobs.sequoiacap.com/companies/planted-solar-2,https://www.sequoiacap.com/companies/planted-solar-2/,https://www.linkedin.com/company/99443048,,,,,,https://www.linkedin.com/company/99443048,,0,0,,,"Clean Energy, Energy, Renewable Energy, Solar",,"Los Altos, CA, USA, Oakland, CA, USA",series_a,42,,,2020,https://crunchbase.com/organization/planted-solar,private,"Planted is redefining ground-mount solar deployment by simplifying every step, from planning to power. By combining advanced software, high-density terrain-following arrays, and automated installation into one integrated platform, Planted empowers developers, EPCs, and IPPs to unlock more land, lower costs, and build projects in half the time.  With a smarter, streamlined approach, Planted expands site options, reduces execution risk, and improves financial returns—accelerating solar’s path to delivering true energy abundance.  Planted is supported by Breakthrough Energy Ventures, Khosla Ventures, Piva Capital, and the United States Department of Energy.",planted-solar-2,1399003
Plum,plum.wine,https://plum.wine,https://jobs.sequoiacap.com/companies/plum-3,https://jobs.sequoiacap.com/companies/plum-3,https://www.sequoiacap.com/companies/plum-3/,https://www.linkedin.com/company/9371668,https://twitter.com/weareplum,,https://facebook.com/plumappliance,instagram.com/plum.wine,,https://www.linkedin.com/company/9371668 | https://twitter.com/weareplum | https://facebook.com/plumappliance | instagram.com/plum.wine,,0,0,,,"Consumer Electronics, Home & Garden, Hotel, Wine & Spirits",,"Dania Beach, FL, USA",series_b,23,,,2015,https://crunchbase.com/organization/plum,private,"Plum is an appliance that automatically identifies, chills to the perfect temperature, and provides a premium wine-drinking experience. Plum's flagship product reflects their mission of delivering the perfect glass of wine on-demand, every time – preserved and at the ideal serving temperature.  Plum was founded by David Koretz and backed by world-class investors and is dedicated to transforming how consumers enjoy wine from the bottle to the glass.",plum-3,14794
Polly,polly.io,https://polly.io,https://jobs.sequoiacap.com/companies/polly,https://jobs.sequoiacap.com/companies/polly,https://www.sequoiacap.com/companies/polly/,https://www.linkedin.com/company/19031941,,,,,,https://www.linkedin.com/company/19031941,,0,0,,,"Artificial Intelligence (AI), Big Data, Enterprise Software, Financial Services, Fintech, Machine Learning",,"San Francisco, CA, USA","other, series_unknown",160,,,2019,https://crunchbase.com/organization/pollyex,private,"Polly develops a mortgage capital markets technology platform for lenders and financial institutions. It provides product and pricing engines, loan trading solutions, data analytics, and workflow automation. The platform uses AI and machine learning to support loan pricing, eligibility, risk assessment, and decision-making across the mortgage lifecycle.",polly,49807
Polymer,polymer.co,https://polymer.co,https://jobs.sequoiacap.com/companies/polymer-2-40f436d6-9d4b-4353-b2da-1694902b1148,https://jobs.sequoiacap.com/companies/polymer-2-40f436d6-9d4b-4353-b2da-1694902b1148,https://www.sequoiacap.com/companies/polymer-2-40f436d6-9d4b-4353-b2da-1694902b1148/,https://www.linkedin.com/company/35492248,,,,,,https://www.linkedin.com/company/35492248,,0,0,,,"Human Resources, Information Technology, Software, Software Development",,"Charlotte, NC, USA, são paulo, state of são paulo, brazil, North Charlotte, Charlotte, NC, USA, São Paulo - State of São Paulo, Brazil, Paulo - Conceição, PB-000, Brazil",acquisition,10,,,2022,https://www.crunchbase.com/organization/polymer-d307,private,Polymer is a job board and tracking software dashboard to manage applicants.,polymer-2-40f436d6-9d4b-4353-b2da-1694902b1148,722380
Prellis Biologics,prellisbio.com,https://prellisbio.com,https://jobs.sequoiacap.com/companies/prellis-biologics,https://jobs.sequoiacap.com/companies/prellis-biologics,https://www.sequoiacap.com/companies/prellis-biologics/,https://www.linkedin.com/company/17984736,https://twitter.com/prellisbio,,https://www.facebook.com/prellisbio/,instagram.com/prellisbio,,https://www.linkedin.com/company/17984736 | https://twitter.com/prellisbio | https://www.facebook.com/prellisbio/ | instagram.com/prellisbio,,0,0,,,"3D Printing, Biopharma, Biotechnology, Therapeutics",,"San Francisco, CA, USA, Hayward, CA, USA, Berkeley, CA, USA, San Francisco Bay Area, CA, USA",series_c,48,,,2016,https://crunchbase.com/organization/prellis-biologics,private,"Prellis employs holographic tissue printing technology with fully human antibody discovery, in vitro human disease, and ADME/Tox models.",prellis-biologics,13421
Primer,primer.com,https://primer.com,https://jobs.sequoiacap.com/companies/primer-2-c294fe69-4ab0-428c-aca8-3414a37c71ae,https://jobs.sequoiacap.com/companies/primer-2-c294fe69-4ab0-428c-aca8-3414a37c71ae,https://www.sequoiacap.com/companies/primer-2-c294fe69-4ab0-428c-aca8-3414a37c71ae/,https://www.linkedin.com/company/primermicroschools,https://twitter.com/primer,,https://facebook.com/withprimer,,,https://www.linkedin.com/company/primermicroschools | https://twitter.com/primer | https://facebook.com/withprimer,,0,0,,,"Education, Internet",,"San Francisco, CA, USA, Oakland, CA, USA",series_unknown,31,,,2019,https://crunchbase.com/organization/primer-c6eb,private,"At Primer, students learn at their own pace, pursue their passions, and get the support they deserve. A school designed for tomorrow's leaders, enrolling today.",primer-2-c294fe69-4ab0-428c-aca8-3414a37c71ae,72439
